site_name,site_id,cammlr_region,longitude_epsg_4326,latitude_epsg_4326,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference
Cape Adare,ADAR,88.1,170.19989999999996,-71.30629999999995,ad{\'e}lie penguin,,12,1992,1992,297443,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Cape Adare,ADAR,88.1,170.19989999999996,-71.30629999999995,ad{\'e}lie penguin,,12,1998,1998,338777,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Cape Adare,ADAR,88.1,170.19989999999996,-71.30629999999995,ad{\'e}lie penguin,16,2,2011,2010,338231,5,nests,vhr,<strong>Lynch  H. J. and M. A. LaRue  </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.
Cape Adare,ADAR,88.1,170.19989999999996,-71.30629999999995,ad{\'e}lie penguin,,12,2013,2013,428516,2,nests,aerial,<strong>Lyver  P. O.  </strong><i> ???? </i> Ad&#233;lie census data. dataset.
Ailsa Craig,AILS,48.2,-44.630999999999986,-60.7799999999989,chinstrap penguin,28,12,1983,1983,6000,4,nests,ground,<strong>Poncet  S. and J. Poncet  </strong><i> 1985</i>. A survey of penguin breeding populations at the South Orkey Islands. British Antarctic Survey Bulletin 68:71-81.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,chinstrap penguin,25,11,1997,1997,4608,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,gentoo penguin,13,12,1999,1999,1177,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,gentoo penguin,11,1,2002,2001,1236,1,chicks,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,gentoo penguin,20,12,2003,2003,1486,1,nests,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
Barrientos Island (Aitcho Islands),AITC,48.1,-59.751699999999985,-62.4070999999993,gentoo penguin,22,1,2006,2005,2483,1,chicks,ground,<strong>Lynch  H. J.  R. Naveen  and P. Casanovas  </strong><i> 2013</i>. Antarctic Site Inventory breeding bird survey data  1994-2013: Ecological Archives E094-243. Ecology 94:2653-2653.
